unit_price_incl_tax,product_region_name,importer_name,offer_id,varietalcategory_name,producing_winery_winedirect_upc,title,varietal_list,label_classification,product_title,product_winery_name,utm_lt_campaign_token,varietal,utm_ft_keywords,product_style_name
30.0,France > Bordeaux,Twins America,11748411_2018-06-03,Bordeaux Left Bank,11748411-CDF,2014 Chateau des Fougeres Clos Montesquieu Graves Bordeaux,"Cabernet Sauvignon,Merlot",Import,2014 Chateau des Fougeres Clos Montesquieu Graves Bordeaux,Chateau des Fougeres Clos Montesquieu,,Cabernet Sauvignon,,Red Wine
25.61,,,,,,,,Domestic,,,,,,Red Wine
201.88,United States > California > Napa Valley,,20001786_2018-08-12,Cabernet Sauvignon,20001786-FTM,2015 Fait-Main Cabernet Sauvignon Sleeping Lady Vineyard Napa Valley,Cabernet Sauvignon,Domestic,2015 Fait-Main Cabernet Sauvignon Sleeping Lady Vineyard Napa Valley,Fait Main,,Cabernet Sauvignon,,Red Wine
24.02,United States > California > Napa Valley,,,,,,,Domestic,,Clos du Val,,,,Red Wine
43.69,,,,,,,,Import,,,,,,Red Wine
24.45,United States > California > North Coast,,20001506_2018-03-05,Cabernet Franc,20001506-LNR,2014 Lang and Reed Cabernet Franc North Coast,Cabernet Franc,Domestic,2014 Lang and Reed Cabernet Franc North Coast,Lang and Reed,11212017_BCE_Accouncement_RAF_Reminder,Cabernet Franc,5f67bad37077320b86e53b6454a3e53b,Red Wine
175.0,France > Bordeaux > Saint-Emilion,,20001363_2017-12-30,Red Blend,20001363-FTM,2015 Fait Main Saint-Emilion Grand Cru Todeschini Asteria Vineyard,"Cabernet Franc,Merlot",Import,2015 Fait Main Saint-Emilion Grand Cru Todeschini Asteria Vineyard,Fait Main,,Cabernet Franc,,Red Wine
32.16,United States > California > Napa Valley,,20001677_2018-09-28,Red Blend,20001677-KCB,2016 Delightful and Strange Proprietary Red Wine Napa Valley,"Cabernet Sauvignon,Malbec,Merlot",Private Label,2016 Delightful and Strange Proprietary Red Wine Napa Valley,Delightful and Strange,20000582,Cabernet Sauvignon,,Red Wine
23.31,United States > California > Napa Valley,Pacific Wine Group,20001935_2018-09-14,Red Blend,20001935-EIG,2013 1849 Wine Company Anonymous Premium Red Blend Napa Valley,"Cabernet Sauvignon,Merlot,Petite Sirah,Zinfandel",Domestic,2013 1849 Wine Company Anonymous Premium Red Blend Napa Valley,1849 Wine Company,,Cabernet Sauvignon,,Red Wine
18.35,United States > Oregon > Willamette Valley,,,,,,,Domestic,,,,,,Red Wine
45.68,United States > California > Napa Valley > Coombsville,,20000982_2017-12-01,Red Blend,20000982-COH,2013 Coho Headwaters Proprietary Red Napa,"Cabernet Sauvignon,Merlot,Petit Verdot",Domestic,2013 Coho Headwaters Proprietary Red Napa,Coho,,Cabernet Sauvignon,,Red Wine
92.54,United States > California > Napa Valley,,20001785_2018-08-09,Cabernet Sauvignon,20001785-JSV,2015 Juslyn Vineyards Perry's Blend Spring Mountain District Napa Valley,"Cabernet Franc,Cabernet Sauvignon,Merlot,Petit Verdot",Domestic,2015 Juslyn Vineyards Perry's Blend Spring Mountain District Napa,Juslyn Vineyards,,Cabernet Franc,,Red Wine
21.26,United States > California,,20001941_2018-09-20,Red Blend,20001941-CHP,2016 The Illegitimate Cuvee Non Autorisee,"Cabernet Sauvignon,Merlot,Syrah,Zinfandel",Domestic,2016 The Illegitimate Cuvee Non Autorisee,Chateau Potelle,,Cabernet Sauvignon,,Red Wine
32.39,United States > California > Napa Valley,,20001677_2018-09-28,Red Blend,20001677-KCB,2016 Delightful and Strange Proprietary Red Wine Napa Valley,"Cabernet Sauvignon,Malbec,Merlot",Private Label,2016 Delightful and Strange Proprietary Red Wine Napa Valley,Delightful and Strange,,Cabernet Sauvignon,,Red Wine
43.2,United States > California > Napa Valley > Calistoga,,,Merlot,,,,Domestic,,,,,,Red Wine
16.99,France > Rhone,,20001376_2018-01-03,Red Blend,20001376-LOC,Locations F5,"Cabernet Franc,Grenache,Merlot,Syrah",Import,Locations F5,Locations,20001376_newbrand,Cabernet Franc,cab8bd77364a3d22bc721513b62332dc,Red Wine
15.93,United States > California,,20001509_2018-03-14,Bordeaux Red Blend,20001509-NBM,2014 Rubissow Lola Kay Proprietary Red Wine,"Cabernet Franc,Cabernet Sauvignon,Carménère,Malbec,Merlot",Domestic,2014 Lola Kay Proprietary Red Wine California,Rubissow,,Cabernet Franc,,Red Wine
21.99,Italy > Tuscany,,,,,,,Import,,,,,,Red Wine
16.32,United States > California > Sonoma County,,,,,,,Domestic,,,,,,Red Wine
23.32,,,,,,,,Import,,,20001218_newbrand,,,Red Wine
43.6,,Gregory Condes Wines,,,,,,Import,,,Google_Search_Beta_Region,,#NAME?,Red Wine
18.35,United States > California > Contra Costa,,,,,,,Domestic,,Three Wine Company,,,,Red Wine
42.12,,,,,,,,Import,,,,,#NAME?,Red Wine
16.53,United States > California,,20001509_2018-03-23,Bordeaux Red Blend,20001509-NBM,2014 Rubissow Lola Kay Proprietary Red Wine,"Cabernet Franc,Cabernet Sauvignon,Carménère,Malbec,Merlot",Domestic,2014 Lola Kay Proprietary Red Wine California,Rubissow,,Cabernet Franc,,Red Wine
31.86,United States > California > Napa Valley,,20001677_2018-09-13,Red Blend,20001677-KCB,2016 Delightful and Strange Red Blend ,"Cabernet Sauvignon,Malbec,Merlot",Private Label,2016 Delightful and Strange Proprietary Red Wine Napa Valley,Delightful and Strange,,Cabernet Sauvignon,,Red Wine
42.4,United States > California > Napa Valley,,20000508_2017-11-21,,20000508-KCB,2014 Chad Cabernet Sauvignon Private Reserve Napa Valley,Cabernet Sauvignon,Private Label,2014 Chad Cabernet Sauvignon Private Reserve Napa Valley,Chad,,Cabernet Sauvignon,,Red Wine
19.25,United States > California > Central Coast > Monterey,,20001992_2018-10-12,Chardonnay,20001992-BRN,2016 Bernardus Chardonnay Monterey County,Chardonnay,Domestic,2016 Bernardus Chardonnay Monterey County,Bernardus Winery,,Chardonnay,,White Wine
31.49,United States > California > Central Coast > Santa Lucia Highlands,,20001529_2018-03-19,Chardonnay,20001529-BRN,2016 Bernardus Winery Chardonnay Santa Lucia Highlands Rosella’s Vineyard,Chardonnay,Domestic,2016 Bernardus Chardonnay Santa Lucia Highlands Rosella’s Vineyard,Bernardus Winery,,Chardonnay,,White Wine
34.03,United States > Oregon > Willamette Valley,,,,,,,Domestic,,Lange Winery,,,,Red Wine
20.71,,,,Red Blend,,,,Domestic,,,,,,Red Wine
90.95,France > Champagne,USA Wine West,20001744_2018-07-25,Champagne,20001744-JDF,2004 Champagne Dumangin J Fils Le Vintage Extra Brut 1er Cru,"Chardonnay,Pinot Noir",Import,2004 Champagne Dumangin J Fils Le Vintage Extra Brut 1er Cru,J. Dumangin Fils,,Chardonnay,,Sparkling
39.99,,,,,,,,Import,,,,,,Red Wine
85.59,United States > California > Napa Valley,,20001302_2018-02-15,Chardonnay,20001302-TOR,2015 TOR Wines Chardonnay Reserve Cuvee Susan Napa Valley,Chardonnay,Domestic,2015 TOR Wines Chardonnay Reserve Cuvee Susan Napa Valley,TOR Wines,,Chardonnay,,White Wine
14.0,United States > California,,,Interesting White,,,,Domestic,,,,,,White Wine
19.99,Italy > Tuscany,Mission Wine Company ,,,,,,Import,,,,,,Red Wine
65.0,United States > California > Napa Valley,,20001373_2017-12-31,Red Blend,20001373-STE,2015 Steady State Red Wine Napa Valley by Grounded Wine Company,"Cabernet Franc,Cabernet Sauvignon,Malbec,Merlot,Petit Verdot",Domestic,2015 Steady State Red Wine Napa Valley by Grounded Wine Company,Grounded Wine Company,,Cabernet Sauvignon,,Red Wine
212.5,United States > California > Napa Valley,Kenward Family Vineyards,,Cabernet Sauvignon,,,Cabernet Sauvignon,Domestic,,TOR Wines,20000939_newbrand,Cabernet Sauvignon,,Red Wine
14.61,France > Rhone,USA Wine West,20001857_2018-08-21,Rhone Red Blend,20001857-PIQ,2017 Piquemal Côtes du Roussillon Tradition,"Carignan,Grenache,Syrah",Import,2017 Piquemal Côtes du Roussillon Tradition,Domaine Piquemal,Google_Search_Beta_Wines_USA_Sonoma,Carignan,#NAME?,Red Wine
34.48,United States > California > Napa Valley > Stags Leap District,,20000313_2018-02-09,Cabernet Sauvignon,20000313-KCB,2014 Karo-Kann Stags Leap Cabernet Sauvignon,Cabernet Sauvignon,Private Label,2014 Karo-Kann Stags Leap Cabernet Sauvignon,Karo-Kann,,Cabernet Sauvignon,,Red Wine
58.3,France > Champagne,,,Champagne,,,,Import,,Billecart-Salmon,Y_Search_Alpha_Wines_USA_Napa_Top-Producers,,regusci winery,Sparkling
17.0,,,,,,,,Import,,,,,,White Wine
32.69,Italy > Friuli-Venezia Giulia,,,,,,,Import,,,,,,White Wine
1242.36,France > Bordeaux > Pauillac,,,Bordeaux Left Bank,,,"Cabernet Sauvignon,Merlot,Petit Verdot",Import,,,,Cabernet Sauvignon,,Red Wine
31.64,United States > California > Napa Valley,,20000904_2018-02-23,Cabernet Sauvignon,20000904-KCB,2015 Chad Cabernet Sauvignon Reserve Napa Valley,"Cabernet Franc,Cabernet Sauvignon,Malbec,Merlot",Private Label,2015 Chad Cabernet Sauvignon Reserve Napa Valley,Chad,,Cabernet Sauvignon,,Red Wine
23.53,United States > California > Napa Valley,Pacific Wine Group,20001935_2018-09-14,Red Blend,20001935-EIG,2013 1849 Wine Company Anonymous Premium Red Blend Napa Valley,"Cabernet Sauvignon,Merlot,Petite Sirah,Zinfandel",Domestic,2013 1849 Wine Company Anonymous Premium Red Blend Napa Valley,1849 Wine Company,,Cabernet Sauvignon,,Red Wine
23.36,Italy > Tuscany,Lyra Fine Wine Importers,,Super Tuscan,,,,Import,,,,,,Red Wine
14.83,United States > California > Contra Costa,,,Red Blend,,,,Domestic,,Three Wine Company,,,,Red Wine
21.4,France > Loire,Vintus,11233877_2018-10-03,Cremant de Loire,11233877-DLC,NV Langlois-Chateau Cremant de Loire Brut Loire Valley ,"Cabernet Franc,Chardonnay,Chenin Blanc",Import,NV Langlois-Chateau Cremant de Loire Brut Loire Valley ,Domaine Langlois-Chateau,11233877,Chenin Blanc,kkimmet@insight.rr.com,Sparkling
53.86,,,,Red Blend,,,,Import,,,,,,Red Wine
47.81,United States > California > Santa Barbara,Skurnik Wines,,,,,,Domestic,,,,,,Red Wine
54.43,United States > California > Napa Valley,,20001525_2018-03-18,Red Blend,20001525-ACV,2015 Anderson's Conn Valley Vineyards Right Bank,"Cabernet Franc,Merlot",Domestic,2015 Anderson's Conn Valley Vineyards Right Bank,Anderson's Conn Valley Vineyards,,Cabernet Franc,,Red Wine
54.99,,,,,,,,Domestic,,,,,,Red Wine
21.26,,Hudson Wine Brokers,,,,,,Import,,Leconfield,,,,Red Wine
36.92,,,,,,,,Import,,,,,,Red Wine
51.44,United States > California > Napa Valley,,20001525_2018-03-20,Red Blend,20001525-ACV,2015 Anderson's Conn Valley Vineyards Right Bank,"Cabernet Franc,Merlot",Domestic,2015 Anderson's Conn Valley Vineyards Right Bank,Anderson's Conn Valley Vineyards,,Cabernet Franc,,Red Wine
139.0,,,,,,,,Import,,,,,,
140.29,United States > California > Napa Valley > Spring Mountain,Gregory Condes Wines,20001349_2017-12-18,Cabernet Sauvignon,20001349-PTV,2014 Philip Togni Vineyard Estate Cabernet Sauvignon,Cabernet Sauvignon,Domestic,2014 Philip Togni Vineyard Estate Cabernet Sauvignon,Philip Togni Vineyard,,Cabernet Sauvignon,,Red Wine
14.97,,,,Interesting Red,,,,Import,,,,,,Red Wine
52.26,Italy > Tuscany,Palm Bay International,,,,,,Import,,,,,,Red Wine
19.99,,,,Red Blend,,,,Domestic,,,,,,Red Wine
108.8,Italy > Tuscany,Folio,,,,,,Import,,,,,,Red Wine
60.0,United States > California > Napa Valley,,11841304_2018-01-22,Cabernet Sauvignon,11841304-JPW,2014 Joseph Phelps Cabernet Sauvignon Napa Valley,"Cabernet Franc,Cabernet Sauvignon,Malbec,Merlot",Domestic,2014 Joseph Phelps Cabernet Sauvignon Napa Valley,Joseph Phelps,,Cabernet Sauvignon,,Red Wine
37.72,,Young's Market,,,,,,Import,,,,,,
18.52,,,,,,,,Import,,,,,,White Wine
54.31,United States > California > Sonoma County,,20001661_2018-06-28,Cabernet Sauvignon,20001661-HRV,2012 Hidden Ridge Cabernet Sauvignon 55% Slope Sonoma County,Cabernet Sauvignon,Domestic,2012 Hidden Ridge Cabernet Sauvignon 55% Slope Sonoma County,Hidden Ridge Vineyard,,Cabernet Sauvignon,,Red Wine
40.47,France > Champagne,,119395_2018-05-25,Champagne,119395-DVC,Diebolt-Vallois Blanc de Blancs Brut,Chardonnay,Import,Diebolt-Vallois Blanc de Blancs Brut,Diebolt-Vallois,Google_Search_Alpha_Brand,Chardonnay,,Sparkling
34.03,United States > California > Napa Valley > Stags Leap District,,20000313_2018-02-09,Cabernet Sauvignon,20000313-KCB,2014 Karo-Kann Stags Leap Cabernet Sauvignon,Cabernet Sauvignon,Private Label,2014 Karo-Kann Stags Leap Cabernet Sauvignon,Karo-Kann,,Cabernet Sauvignon,,Red Wine
23.88,Italy > Tuscany,,,,,,,Import,,,,,,Red Wine
23.0,United States > California > Central Coast > Santa Lucia Highlands,,,,,,,Domestic,,Bernardus Winery,,,,Red Wine
32.57,United States > California > Napa Valley,,20001677_2018-08-25,Red Blend,20001677-KCB,2016 Delightful and Strange Red Blend ,"Cabernet Sauvignon,Malbec,Merlot",Private Label,2016 Delightful and Strange Proprietary Red Wine Napa Valley,Delightful and Strange,,Cabernet Sauvignon,,Red Wine
29.99,United States > California > Napa Valley > Diamond Mountain,,20000875_2018-06-30,Cabernet Sauvignon,20000875-KCB,2015 Nichols Cabernet Sauvignon Reserve Diamond Mountain District Napa Valley,"Cabernet Sauvignon,Malbec,Merlot,Petit Verdot",Private Label,2015 Nichols Cabernet Sauvignon Reserve Diamond Mountain District Napa Valley,Nichols,20000271,Cabernet Sauvignon,,Red Wine
32.46,United States > California > Napa Valley,,20001677_2018-09-18,Red Blend,20001677-KCB,2016 Delightful and Strange Red Blend ,"Cabernet Sauvignon,Malbec,Merlot",Private Label,2016 Delightful and Strange Proprietary Red Wine Napa Valley,Delightful and Strange,,Cabernet Sauvignon,,Red Wine
79.99,,,,Rhone Red Blend,,,,Import,,,,,,Red Wine
14.83,Australia > Victoria,,,,,,,Import,,Fowles Wine,,,,Red Wine
34.0,United States > California > Napa Valley > Stags Leap District,,20000313_2018-02-09,Cabernet Sauvignon,20000313-KCB,2014 Karo-Kann Stags Leap Cabernet Sauvignon,Cabernet Sauvignon,Private Label,2014 Karo-Kann Stags Leap Cabernet Sauvignon,Karo-Kann,Site-wide Overlay  - custom design 12.18.17,Cabernet Sauvignon,,Red Wine
16.99,Australia,Little Peacock,,,,,,Import,,,,,,Red Wine
31.79,United States > California > Napa Valley,,20001677_2018-08-25,Red Blend,20001677-KCB,2016 Delightful and Strange Red Blend ,"Cabernet Sauvignon,Malbec,Merlot",Private Label,2016 Delightful and Strange Proprietary Red Wine Napa Valley,Delightful and Strange,,Cabernet Sauvignon,,Red Wine
54.3,United States > California > Napa Valley,,,Cabernet Sauvignon,20001754-RKW,2014 Robert Keenan Cabernet Sauvignon Napa Valley ,Cabernet Sauvignon,Domestic,2014 Robert Keenan Cabernet Sauvignon Napa Valley ,Robert Keenan Winery,,Cabernet Sauvignon,,Red Wine
47.99,Italy > Tuscany,Palm Bay International,,,,,,Import,,,Site-wide Overlay  - custom design 12.18.17,,,Red Wine
31.9,France > Burgundy,Treasury Wine Estates,,,,,,Import,,,,,,Red Wine
32.39,,,,,,,,Import,,,20000456,,,Red Wine
15.25,United States > California,,,Interesting White,,,,Domestic,,,,,,White Wine
79.5,,,,Red Blend,,,,Domestic,,Favia,,,,Red Wine
21.99,United States > Oregon > Willamette Valley,,,,,,,Domestic,,Panther Creek Cellars,,,,Red Wine
191.18,United States > California > Napa Valley > Oakville,,20001537_2018-03-23,Red Blend,20001537-TOR,2014 TOR Wines Proprietary Red Oakville Napa,"Cabernet Franc,Cabernet Sauvignon,Petit Verdot",Domestic,2014 TOR Wines Proprietary Red Oakville Napa,TOR Wines,,Cabernet Franc,,Red Wine
63.74,Italy > Tuscany,,,,,,,Import,,,,,,Red Wine
26.15,,AP Wine Imports,,Interesting Red,,,,Import,,,,,,Red Wine
37.13,United States > California > Napa Valley,,20000906_2018-03-17,Cabernet Sauvignon,20000906-KCB,2015 Chad Private Reserve Cabernet Sauvignon,"Cabernet Sauvignon,Malbec,Merlot",Private Label,2015 Chad Private Reserve Cabernet Sauvignon,Chad,,Cabernet Sauvignon,,Red Wine
36.28,,Polaner Selections,,,,,,Import,,,,,,Red Wine
23.45,United States > California > Sonoma County > Russian River Valley,,,,,,,Domestic,,William Knuttel,NEW - Refer-a-friend Landing Page,,,Red Wine
14.9,United States > California,,,Red Blend,,"2012 Mark Herold Flux"" Proprietary Red Wine""",,Domestic,"2012 Mark Herold Flux"" Proprietary Red Wine""",,,,,Red Wine
15.99,,,,,,,,Import,,,G_WineAccess_3P_Producers_Rothschild_Tier1,,#NAME?,White Wine
55.0,United States > California > Napa Valley,,20000740_2018-02-09,Cabernet Sauvignon,20000740-TTW,2014 Teeter Totter Cabernet Sauvignon Napa Valley,Cabernet Sauvignon,Domestic,2014 Teeter Totter Cabernet Sauvignon Napa Valley,Fait Main,,Cabernet Sauvignon,,Red Wine
29.5,France > Rhone,North Berkeley Wine Imports,,Rhone Red Blend,,,,Import,,,,,,Red Wine
24.99,Italy > Tuscany,,,,,,,Import,,,,,,Red Wine
53.86,United States > California > Napa Valley,,20001525_2018-03-18,Red Blend,20001525-ACV,2015 Anderson's Conn Valley Vineyards Right Bank,"Cabernet Franc,Merlot",Domestic,2015 Anderson's Conn Valley Vineyards Right Bank,Anderson's Conn Valley Vineyards,,Cabernet Franc,,Red Wine
42.89,United States > California > Napa Valley,,20001548_2018-04-12,Cabernet Sauvignon,20001548-KCB,2015 Pompier Cabernet Sauvignon Napa Valley,Cabernet Sauvignon,Private Label,2015 Pompier Cabernet Sauvignon Napa Valley,Pompier,,Cabernet Sauvignon,,Red Wine
29.16,France > Rhone,North Berkeley Wine Imports,,Rhone Red Blend,,,,Import,,,Site-wide Overlay  - custom design 12.18.17,,,Red Wine
58.44,United States > California > Napa Valley,Scale Wine Group,20001362_2018-02-03,Cabernet Sauvignon,20001362-PUR,2015 Purlieu Le Pich Cabernet Sauvignon Napa Valley,Cabernet Sauvignon,Domestic,2015 Purlieu Le Pich Cabernet Sauvignon Napa Valley,Purlieu,,Cabernet Sauvignon,,Red Wine
52.74,United States > California > Napa Valley,,20001525_2018-03-18,Red Blend,20001525-ACV,2015 Anderson's Conn Valley Vineyards Right Bank,"Cabernet Franc,Merlot",Domestic,2015 Anderson's Conn Valley Vineyards Right Bank,Anderson's Conn Valley Vineyards,20001077_newbrand,Cabernet Franc,a9a9175ac9483556844280ed56b34fb5,Red Wine
49.99,United States > California > Napa Valley > Rutherford,,20001671_2018-07-13,Cabernet Sauvignon,20001671-CSC,2015 Cornerstone Cellars Benchlands Cabernet Sauvignon Napa Valley,Cabernet Sauvignon,Domestic,2015 Cornerstone Cellars Benchlands Cabernet Sauvignon Napa Valley,Cornerstone Cellars,Google_Search_Gamma_Wines_USA_Napa_Top-Producers,Cabernet Sauvignon,,Red Wine
35.0,,,,,,,,Import,,,,,,Red Wine
37.57,United States > California > Napa Valley,,20001337_2017-12-16,Cabernet Sauvignon,20001337-AVV,2015 Anderson's Conn Valley Vineyards Cabernet Sauvignon Napa Valley,Cabernet Sauvignon,Domestic,2015 Anderson's Conn Valley Vineyards Cabernet Sauvignon Napa Valley,Anderson's Conn Valley Vineyards,,Cabernet Sauvignon,,Red Wine
39.84,United States > California > Napa Valley > Coombsville,,20000982_2018-05-24,Red Blend,20000982-COH,2013 Coho Headwaters Proprietary Red Napa,"Cabernet Sauvignon,Merlot,Petit Verdot",Domestic,2013 Coho Headwaters Proprietary Red Napa,Coho,,Cabernet Sauvignon,,Red Wine
18.56,Spain,Ole Imports,20001872_2018-09-15,Spanish Red Blend,20001872-CVA,2014 Compañia de Vinos del Atlantico Gordo Yecla Spain,"Cabernet Sauvignon,Monastrell",Import,2014 Compañia de Vinos del Atlantico Gordo Yecla Spain,Compania de Vinos del Atantico,,Cabernet Sauvignon,,Red Wine
27.55,United States > Oregon > Willamette Valley,,,,,,,Domestic,,,,,,Red Wine
30.0,United States > Oregon > Willamette Valley,,,,,,,Domestic,,Lange Winery,,,,Red Wine
21.45,,Southern Starz,,,,,,Import,,,,,,Red Wine
14.0,United States > California > Napa Valley,,,,,,,Domestic,,Rubissow,,,,White Wine
55.56,,North Berkeley Wine Imports,,Rhone Red Blend,,,,Import,,,,,,Red Wine
32.43,United States > California > Napa Valley,,20001677_2018-09-29,Red Blend,20001677-KCB,2016 Delightful and Strange Proprietary Red Wine Napa Valley,"Cabernet Sauvignon,Malbec,Merlot",Private Label,2016 Delightful and Strange Proprietary Red Wine Napa Valley,Delightful and Strange,,Cabernet Sauvignon,,Red Wine
30.87,United States > California > Napa Valley,,,,,,,Domestic,,,,,,Red Wine
99.0,United States > California > Napa Valley,,11867533_2018-03-25,Cabernet Sauvignon,11867533-REV,2014 Revana Cabernet Sauvignon Terroir Series,"Cabernet Sauvignon,Merlot,Petit Verdot",Domestic,2014 Revana Cabernet Sauvignon Terroir Series,Revana,,Cabernet Sauvignon,,Red Wine
31.91,New Zealand > Central Otago,Seaview Imports,20001313_2018-06-16,Sparkling,20001313-AKA,NV Akarua Methode Traditionnelle Rose,"Chardonnay,Pinot Noir",Import,NV Akarua Methode Traditionnelle Rose,Akarua,NEW - Post Purchase V2,Chardonnay,,Sparkling
27.55,United States > California > Napa Valley,Vintus,,,,,,Domestic,,,,,,Red Wine
53.86,United States > California > Napa Valley,Pacific Wine Group,20001380_2018-01-02,Cabernet Sauvignon,20001380-HES,2008 Hesperian Cabernet Sauvignon Napa Valley,Cabernet Sauvignon,Domestic,2008 Hesperian Cabernet Sauvignon Napa Valley,Hesperian,,Cabernet Sauvignon,,Red Wine
104.94,United States > California > Napa Valley,,11867533_2018-03-25,Cabernet Sauvignon,11867533-REV,2014 Revana Cabernet Sauvignon Terroir Series,"Cabernet Sauvignon,Merlot,Petit Verdot",Domestic,2014 Revana Cabernet Sauvignon Terroir Series,Revana,Google_Search_Alpha_General_Tier1,Cabernet Sauvignon,,Red Wine
31.86,United States > California,,,Red Blend,,,,Domestic,,,,,,Red Wine
32.85,United States > California > Napa Valley,,,Red Blend,,,,Domestic,,,NEW - Refer-a-friend Landing Page,,,Red Wine
21.39,Spain,,,,,,,Import,,,,,,Red Wine
31.89,United States > California > Napa Valley,,20001549_2018-04-04,Red Blend,20001549-KCB,2015 Delightful and Strange Red Blend,"Cabernet Sauvignon,Malbec,Merlot",Private Label,2015 Delightful & Strange Proprietary Red Wine Napa Valley,Delightful and Strange,,Cabernet Sauvignon,,Red Wine
40.94,United States > California > Napa Valley > Diamond Mountain,,20000875_2018-02-15,Cabernet Sauvignon,20000875-KCB,2015 Nichols Cabernet Sauvignon Reserve Diamond Mountain District Napa Valley,"Cabernet Sauvignon,Malbec,Merlot,Petit Verdot",Private Label,2015 Nichols Cabernet Sauvignon Reserve Diamond Mountain District Napa Valley,Nichols,,Cabernet Sauvignon,wine access,Red Wine
24.0,United States > California > Contra Costa,,,,,,,Domestic,,Three Wine Company,20000456,,,Red Wine
53.11,United States > California > Napa Valley,,20001525_2018-03-18,Red Blend,20001525-ACV,2015 Anderson's Conn Valley Vineyards Right Bank,"Cabernet Franc,Merlot",Domestic,2015 Anderson's Conn Valley Vineyards Right Bank,Anderson's Conn Valley Vineyards,,Cabernet Franc,,Red Wine
15.99,France > Rhone,,20001376_2018-01-03,Red Blend,20001376-LOC,Locations F5,"Cabernet Franc,Grenache,Merlot,Syrah",Import,Locations F5,Locations,,Cabernet Franc,,Red Wine
34.0,United States > California > Napa Valley > Stags Leap District,,20000313_2018-02-09,Cabernet Sauvignon,20000313-KCB,2014 Karo-Kann Stags Leap Cabernet Sauvignon,Cabernet Sauvignon,Private Label,2014 Karo-Kann Stags Leap Cabernet Sauvignon,Karo-Kann,Site-wide Overlay  - custom design 12.18.17,Cabernet Sauvignon,,Red Wine
52.25,United States > California > Napa Valley,,20001507_2018-03-06,Chardonnay,20001507-SHV,2014 Stony Hill Vineyard Chardonnay Napa Valley,Chardonnay,Domestic,2014 Stony Hill Vineyard Chardonnay Napa Valley,Stony Hill Vineyard,G_WineAccess_3P_Producers_Opus_One_Tier1,Chardonnay,#NAME?,White Wine
237.49,,,,,,,,Import,,,,,,
69.99,France > Burgundy,Louis Latour Inc,,,,"2010 Louis Latour Beaune Vigne Franche"" 1er Cru""",,Import,"2010 Louis Latour Beaune Vigne Franche"" 1er Cru""",Louis Latour,,,,Red Wine
37.14,United States > California > Napa Valley > Atlas Peak,Scale Wine Group,,,,,,Domestic,,,11309386_newbrand,,,Red Wine
34.76,United States > Oregon > Willamette Valley,,,,,,,Domestic,,Lange Winery,,,,Red Wine
32.65,Italy > Friuli-Venezia Giulia,,20001488_2018-02-25,Interesting White,20001488-MNW,2015 Massican Gaspare Friuli Colli Orientali White Wine,"Chardonnay,Ribolla Gialla,Tocai",Import,2015 Massican Gaspare Friuli Colli Orientali White Wine,Massican Winery,,Chardonnay,,White Wine
31.86,United States > Oregon > Willamette Valley,,,,,,,Domestic,,Lange Winery,,,,Red Wine
