is_buyer,varietal,offer_id,product_title,producing_winery_winedirect_upc,product_winery_name,product_region_name,varietalcategory_name,title,varietal_list,importer_name,product_style_name,label_classification,utm_ft_keywords,unit_price_incl_tax,utm_lt_campaign_token
bordeaux,Bordeaux Blend,11851706_2018-02-09,2013 Jones Family Vineyards The Sisters ,11851706-JFV,Jones Family Vineyards,United States > California > Napa Valley,Cabernet Sauvignon,2013 Jones Family Vineyards The Sisters ,Bordeaux Blend,Scale Wine Group,Red Wine,Domestic,,81.19,20000430
bordeaux,Bordeaux Blend,20001089_2018-02-09,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Domaine du Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,wine access,19.08,G_WineAccess_Brand_SEARCH-Brand_NEW
bordeaux,Bordeaux Blend,20001089_2018-02-09,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Domaine du Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,wine access,18.0,Google_Search_Alpha_Brand_Wine-Access
bordeaux,Bordeaux Blend,20001205_2018-07-06,2015 Chateau Malescasse Haut Medoc,20001205-CMA,Chateau Malescasse,France > Bordeaux > Haut-Médoc,Bordeaux Left Bank,2015 Chateau Malescasse Haut Medoc,Bordeaux Blend,"Fruit of the Vines, Inc",Red Wine,Import,,22.0,
bordeaux,Bordeaux Blend,10924149_2017-11-21,2009 Chateau Duhart-Milon Pauillac,10924149-DHM,Chateau Duhart Milon,France > Bordeaux > Pauillac,,2009 Chateau Duhart-Milon Pauillac,Bordeaux Blend,Sussex,Red Wine,Import,domaine hubert lamy,130.5,G_WineAccess_3P_SEARCH-Wineries-HNQ
bordeaux,Bordeaux Blend,20001232_2018-02-15,2015 Chateau Pierre 1er  Saint Emilion Grand Cru ,20001232-CHP,Chateau Pierre 1er ,France > Bordeaux > Saint-Emilion Grand Cru,Bordeaux Red Blend,2015 Chateau Pierre 1er  Saint Emilion Grand Cru ,Bordeaux Blend,,Red Wine,Import,,24.99,
bordeaux,Bordeaux Blend,11178944_2018-05-30,2009 Chateau Pontet-Canet Pauillac 5th Grand Cru Classe in 1855,11178944-PCN,Chateau Pontet Canet,France > Bordeaux > Pauillac,Bordeaux Left Bank,2009 Chateau Pontet-Canet Pauillac 5th Grand Cru Classe in 1855,Bordeaux Blend,,Red Wine,Import,,316.94,
bordeaux,Bordeaux Blend,20001089_2018-02-09,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Domaine du Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,44d2cfb2d8f83ce298dd7dfaa81d2363,18.0,02022018_ST_MysterySets_EC
bordeaux,Bordeaux Blend,20000974_2018-02-09,2014 Chateau Mille-Roses Haut-Medoc Bordeaux,20000974-CMR,Chateau Mille-Roses,France > Bordeaux > Haut-Médoc,Bordeaux Left Bank,2014 Chateau Mille-Roses Haut-Medoc Bordeaux,Bordeaux Blend,Langdon-Shiverick Imports,Red Wine,Import,,40.0,
bordeaux,Bordeaux Blend,20002012_2018-10-23,2015 Chateau de Villambis Haut-Médoc Cru Bourgeouis,20002012-VIL,Chateau de Villambis,France > Bordeaux > Haut-Médoc,Bordeaux Left Bank,2015 Chateau de Villambis Haut-Médoc Cru Bourgeouis,Bordeaux Blend,Twins America,Red Wine,Import,,15.93,
bordeaux,Bordeaux Blend,20001089_2018-04-29,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,,15.76,
bordeaux,Bordeaux Blend,20001381_2018-01-02,2015 Podere Sapaio Sapaio Toscana IGT,20001381-PDS,Podere Sapaio,Italy > Tuscany > Toscana IGT,Super Tuscan,2015 Podere Sapaio Sapaio Toscana IGT,Bordeaux Blend,Lyra Fine Wine Importers,Red Wine,Import,,55.0,
bordeaux,Bordeaux Blend,20000974_2018-02-09,2014 Chateau Mille-Roses Haut-Medoc Bordeaux,20000974-CMR,Chateau Mille-Roses,France > Bordeaux > Haut-Médoc,Bordeaux Left Bank,2014 Chateau Mille-Roses Haut-Medoc Bordeaux,Bordeaux Blend,Langdon-Shiverick Imports,Red Wine,Import,,40.0,
bordeaux,Bordeaux Blend,20001089_2018-04-29,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,,19.07,20000386
bordeaux,Bordeaux Blend,20001082_2018-02-09,2014 Orin Swift Papillon Red Wine Napa Valley,20001082-ORS,Orin Swift,United States > California > Napa Valley,Bordeaux Red Blend,2014 Orin Swift Papillon Red Wine,Bordeaux Blend,E. & J. Gallo,Red Wine,Domestic,,61.74,
bordeaux,Bordeaux Blend,20001381_2018-01-02,2015 Podere Sapaio Sapaio Toscana IGT,20001381-PDS,Podere Sapaio,Italy > Tuscany > Toscana IGT,Super Tuscan,2015 Podere Sapaio Sapaio Toscana IGT,Bordeaux Blend,Lyra Fine Wine Importers,Red Wine,Import,,65.24,
bordeaux,Bordeaux Blend,20001089_2018-02-09,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Domaine du Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,,19.14,
bordeaux,Bordeaux Blend,20001082_2018-02-09,2014 Orin Swift Papillon Red Wine Napa Valley,20001082-ORS,Orin Swift,United States > California > Napa Valley,Bordeaux Red Blend,2014 Orin Swift Papillon Red Wine Napa Valley,Bordeaux Blend,E. & J. Gallo,Red Wine,Domestic,,65.55,
bordeaux,Bordeaux Blend,20001232_2017-11-14,2015 Chateau Pierre 1er  Saint Emilion Grand Cru ,20001232-CHP,Chateau Pierre 1er ,France > Bordeaux > Saint-Emilion Grand Cru,Bordeaux Red Blend,2015 Chateau Pierre 1er  Saint Emilion Grand Cru ,Bordeaux Blend,,Red Wine,Import,,30.3,
bordeaux,Bordeaux Blend,20001089_2018-04-29,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,chateau cantemerle,16.15,Google_Search_Alpha_Wines_France_Bordeaux
bordeaux,Bordeaux Blend,20001089_2018-04-29,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,,15.93,
bordeaux,Bordeaux Blend,20001089_2018-06-04,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,,15.9,
bordeaux,Bordeaux Blend,20001089_2018-06-04,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,,16.24,
bordeaux,Bordeaux Blend,20001089_2018-04-29,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,,16.04,
bordeaux,Bordeaux Blend,20001205_2017-11-23,2015 Chateau Malescasse Haut Medoc,20001205-CMA,Chateau Malescasse,France > Bordeaux > Haut-Médoc,Bordeaux Left Bank,2015 Chateau Malescasse Haut Medoc Cru Bourgeois Bordeaux,Bordeaux Blend,"Fruit of the Vines, Inc",Red Wine,Import,,22.99,
bordeaux,Bordeaux Blend,11902270_2018-11-08,2015 Chateau La Garde Pessac-Leognan,11902270-CLG,Chateau La Garde,France > Bordeaux,Bordeaux Left Bank,2015 Chateau La Garde Pessac-Leognan,Bordeaux Blend,Misa Imports,Red Wine,Import,,43.4,
bordeaux,Bordeaux Blend,20002012_2018-10-23,2015 Chateau de Villambis Haut-Médoc Cru Bourgeouis,20002012-VIL,Chateau de Villambis,France > Bordeaux > Haut-Médoc,Bordeaux Left Bank,2015 Chateau de Villambis Haut-Médoc Cru Bourgeouis,Bordeaux Blend,Twins America,Red Wine,Import,dedc63ab6b2831e895f578cc294e5c02,15.89,20002012_newbrandb
bordeaux,Bordeaux Blend,20001205_2018-02-25,2015 Chateau Malescasse Haut Medoc,20001205-CMA,Chateau Malescasse,France > Bordeaux > Haut-Médoc,Bordeaux Left Bank,2015 Chateau Malescasse Haut Medoc,Bordeaux Blend,"Fruit of the Vines, Inc",Red Wine,Import,,21.09,
bordeaux,Bordeaux Blend,11851706_2018-02-09,2013 Jones Family Vineyards The Sisters ,11851706-JFV,Jones Family Vineyards,United States > California > Napa Valley,Cabernet Sauvignon,2013 Jones Family Vineyards The Sisters ,Bordeaux Blend,Scale Wine Group,Red Wine,Domestic,howell mountain wines,81.94,G_WineAccess_3P_Producers_Howell_Mountain_Tier1
bordeaux,Bordeaux Blend,20001082_2018-02-09,2014 Orin Swift Papillon Red Wine Napa Valley,20001082-ORS,Orin Swift,United States > California > Napa Valley,Bordeaux Red Blend,2014 Orin Swift Papillon Red Wine Napa Valley,Bordeaux Blend,E. & J. Gallo,Red Wine,Domestic,,63.6,
